region,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size
california,5479,yes,basic,master,1/13/11,employed,m,56005,suburban,married,68,31,30,1,3,corporate auto,corporate l2,offer1,branch,326,four-door car,small
california,2503,no,basic,bachelor,2/3/11,employed,f,47285,suburban,married,63,7,3,0,1,personal auto,personal l3,offer4,call center,302,four-door car,medsize
nevada,4013,no,extended,doctor,2/6/11,employed,f,93284,suburban,married,99,7,26,0,1,personal auto,personal l3,offer3,web,475,two-door car,medsize
washington,4112,no,basic,high school or below,1/1/11,unemployed,m,51705,suburban,single,71,16,90,3,9,personal auto,personal l2,offer1,agent,569,four-door car,medsize
arizona,10970,no,extended,college,2/27/11,employed,f,38873,suburban,married,92,6,33,0,2,personal auto,personal l2,offer2,branch,599,four-door car,medsize
arizona,7783,no,basic,master,1/11/11,employed,f,48689,suburban,married,191,15,18,0,1,personal auto,personal l3,offer1,call center,985,luxury car,medsize
oregon,2725,no,basic,master,1/3/11,employed,f,36650,rural,married,69,2,70,1,1,personal auto,personal l1,offer2,web,56,four-door car,large
oregon,5427,no,basic,college,2/11/11,medical leave,f,27677,suburban,married,72,10,82,1,3,personal auto,personal l3,offer2,agent,345,two-door car,medsize
oregon,4688,no,basic,bachelor,1/17/11,disabled,f,27357,suburban,married,61,19,48,0,5,corporate auto,corporate l2,offer1,web,292,four-door car,small
oregon,3517,no,extended,college,1/23/11,employed,m,51814,rural,single,92,4,89,0,1,personal auto,personal l2,offer3,agent,56,four-door car,medsize
nevada,8044,yes,basic,bachelor,2/19/11,employed,m,71391,urban,married,67,29,39,0,2,personal auto,personal l3,offer2,agent,284,four-door car,medsize
oregon,5097,no,basic,bachelor,2/22/11,employed,m,67233,urban,married,63,10,26,0,3,personal auto,personal l3,offer3,call center,246,two-door car,medsize
california,10861,no,extended,master,1/22/11,employed,f,65727,urban,married,134,14,15,0,6,corporate auto,corporate l2,offer1,agent,363,suv,medsize
oregon,5520,no,basic,bachelor,1/2/11,employed,m,94676,suburban,divorced,69,27,14,0,3,corporate auto,corporate l3,offer2,agent,331,four-door car,medsize
washington,4240,no,premium,college,2/28/11,employed,m,49746,suburban,married,111,4,85,3,1,corporate auto,corporate l2,offer1,agent,589,four-door car,medsize
california,2499,no,basic,high school or below,1/20/11,employed,f,72021,rural,married,62,26,13,0,1,corporate auto,corporate l1,offer2,agent,50,two-door car,medsize
california,7653,no,basic,college,1/31/11,employed,f,57446,rural,divorced,64,20,30,0,2,personal auto,personal l3,offer1,agent,77,four-door car,medsize
oregon,13561,no,extended,doctor,1/3/11,unemployed,m,84375,suburban,married,122,9,48,0,2,special auto,special l2,offer1,agent,585,sports car,medsize
arizona,6104,no,extended,college,1/6/11,employed,m,84822,urban,married,76,5,13,0,5,corporate auto,corporate l3,offer1,agent,219,four-door car,medsize
oregon,9472,no,extended,bachelor,1/1/11,unemployed,f,46823,suburban,married,86,30,32,0,2,personal auto,personal l3,offer1,call center,412,four-door car,medsize
arizona,14517,no,premium,high school or below,1/13/11,employed,f,74871,suburban,married,178,0,15,0,7,personal auto,personal l3,offer1,call center,854,suv,medsize
oregon,18634,no,extended,college,2/17/11,unemployed,m,14558,suburban,single,139,16,33,0,2,corporate auto,corporate l3,offer1,call center,1066,suv,medsize
california,8697,no,premium,bachelor,1/4/11,employed,m,26287,rural,married,111,6,11,0,8,personal auto,personal l2,offer2,branch,279,two-door car,medsize
oregon,5528,yes,basic,bachelor,1/19/11,employed,m,36088,suburban,single,72,16,31,0,9,personal auto,personal l3,offer1,agent,345,two-door car,medsize
oregon,12779,no,basic,college,1/23/11,unemployed,m,81663,suburban,single,184,0,94,0,9,personal auto,personal l3,offer2,agent,1394,luxury suv,medsize
california,4762,no,basic,high school or below,1/6/11,employed,m,57135,urban,divorced,61,25,47,0,8,corporate auto,corporate l3,offer2,branch,156,four-door car,medsize
arizona,8123,no,extended,bachelor,2/4/11,unemployed,f,26864,suburban,single,78,15,47,0,2,special auto,special l1,offer3,web,561,four-door car,small
arizona,37243,no,basic,high school or below,2/18/11,employed,f,53602,urban,married,115,15,60,0,2,personal auto,personal l1,offer1,web,295,sports car,medsize
california,7725,no,extended,bachelor,2/7/11,employed,m,96748,suburban,married,96,13,68,0,9,personal auto,personal l3,offer2,branch,460,two-door car,medsize
washington,7602,no,basic,high school or below,2/24/11,unemployed,f,91891,suburban,single,105,4,84,0,5,personal auto,personal l3,offer2,web,914,suv,small
arizona,13118,no,premium,college,2/9/11,medical leave,f,11854,suburban,married,113,19,64,0,2,personal auto,personal l1,offer1,call center,807,four-door car,medsize
california,5633,no,basic,doctor,2/2/11,employed,m,65255,urban,divorced,72,3,65,2,3,personal auto,personal l3,offer1,agent,321,four-door car,small
california,4975,no,extended,master,1/30/11,employed,f,44723,urban,married,124,26,3,0,1,personal auto,personal l2,offer1,call center,341,four-door car,medsize
oregon,4803,no,basic,high school or below,2/16/11,disabled,f,23634,suburban,married,62,4,25,0,9,personal auto,personal l3,offer1,branch,440,two-door car,small
arizona,5271,no,basic,high school or below,2/13/11,employed,m,32653,suburban,married,67,4,25,0,9,personal auto,personal l1,offer1,agent,321,two-door car,large
arizona,6876,no,extended,bachelor,2/7/11,employed,m,81957,suburban,divorced,86,23,76,0,4,personal auto,personal l2,offer2,branch,433,four-door car,medsize
arizona,4434,no,premium,college,1/3/11,employed,f,83220,suburban,married,110,9,42,0,1,personal auto,personal l1,offer3,agent,528,four-door car,medsize
oregon,6747,no,basic,high school or below,2/9/11,disabled,m,26721,suburban,divorced,65,18,64,3,2,personal auto,personal l2,offer2,agent,312,four-door car,medsize
california,9688,no,extended,high school or below,1/3/11,employed,m,20009,suburban,single,87,10,86,0,2,corporate auto,corporate l3,offer2,branch,987,four-door car,small
oregon,4940,no,basic,bachelor,2/13/11,unemployed,f,41271,suburban,single,71,10,85,0,3,corporate auto,corporate l3,offer1,agent,551,four-door car,small
arizona,3230,yes,extended,college,1/5/11,employed,m,62873,urban,divorced,81,0,41,0,1,special auto,special l1,offer2,call center,207,four-door car,medsize
nevada,9942,no,extended,bachelor,1/19/11,employed,m,67890,suburban,single,85,23,57,0,2,personal auto,personal l2,offer4,agent,408,four-door car,small
arizona,8528,no,basic,high school or below,1/4/11,employed,f,91099,urban,single,107,14,37,0,3,corporate auto,corporate l2,offer1,call center,406,suv,medsize
nevada,38230,no,basic,bachelor,1/16/11,employed,m,80321,rural,married,105,25,1,0,2,corporate auto,corporate l1,offer4,agent,166,suv,medsize
california,2396,yes,basic,bachelor,1/10/11,unemployed,f,54489,suburban,married,66,6,71,2,1,corporate auto,corporate l3,offer2,call center,433,four-door car,large
california,4770,no,basic,master,1/28/11,employed,f,76194,urban,single,119,5,85,0,1,personal auto,personal l2,offer1,agent,388,suv,large
california,3557,no,extended,doctor,2/21/11,disabled,m,17272,suburban,married,93,30,58,0,1,personal auto,personal l2,offer4,call center,446,suv,medsize
oregon,8717,no,basic,high school or below,1/9/11,unemployed,m,71763,suburban,married,117,5,89,1,3,personal auto,personal l1,offer1,agent,561,suv,medsize
california,7432,no,basic,high school or below,2/13/11,unemployed,f,11766,suburban,single,102,23,34,1,5,corporate auto,corporate l3,offer2,call center,1037,suv,medsize
oregon,7381,no,basic,bachelor,2/14/11,employed,m,64311,urban,married,62,21,79,0,2,personal auto,personal l2,offer4,agent,157,four-door car,medsize
washington,2254,no,basic,bachelor,1/2/11,unemployed,f,84965,suburban,single,65,3,95,1,1,personal auto,personal l3,offer1,branch,768,four-door car,medsize
california,21528,no,extended,bachelor,2/18/11,disabled,m,11538,suburban,married,82,35,22,0,2,corporate auto,corporate l3,offer3,call center,393,four-door car,medsize
nevada,9202,no,extended,master,1/25/11,unemployed,m,15038,suburban,married,80,8,71,0,2,personal auto,personal l3,offer1,agent,384,four-door car,medsize
california,9404,no,extended,bachelor,2/1/11,employed,f,51593,urban,married,80,5,91,2,2,personal auto,personal l2,offer1,agent,202,two-door car,medsize
california,6462,no,basic,bachelor,1/23/11,unemployed,m,15779,suburban,single,65,17,41,0,2,corporate auto,corporate l2,offer4,call center,312,four-door car,medsize
oregon,24096,no,extended,bachelor,2/25/11,unemployed,f,71510,suburban,single,97,1,40,0,2,personal auto,personal l1,offer4,web,1154,four-door car,medsize
oregon,7297,no,extended,bachelor,2/23/11,employed,m,24672,suburban,married,93,9,44,0,9,personal auto,personal l2,offer4,branch,669,two-door car,medsize
oregon,12731,yes,basic,doctor,1/14/11,employed,m,40870,suburban,married,105,3,56,0,2,personal auto,personal l3,offer1,agent,504,suv,large
arizona,5387,no,basic,bachelor,1/17/11,employed,m,97316,urban,married,67,1,18,0,7,personal auto,personal l3,offer2,branch,309,two-door car,large
california,12489,no,premium,high school or below,2/3/11,unemployed,m,91159,suburban,married,113,4,13,0,2,personal auto,personal l3,offer3,call center,542,four-door car,medsize
nevada,5872,no,basic,college,2/4/11,employed,f,77156,suburban,divorced,73,30,39,0,7,personal auto,personal l2,offer1,branch,445,four-door car,small
oregon,8628,no,basic,high school or below,1/13/11,unemployed,f,20790,suburban,single,117,11,63,0,5,special auto,special l2,offer2,branch,842,suv,medsize
oregon,4177,no,premium,high school or below,2/3/11,unemployed,f,11641,suburban,married,112,4,49,0,1,personal auto,personal l2,offer3,agent,537,four-door car,medsize
nevada,35984,no,extended,high school or below,2/1/11,unemployed,f,31654,suburban,single,129,2,69,0,2,corporate auto,corporate l2,offer1,agent,1267,sports car,medsize
california,9029,no,extended,bachelor,2/2/11,retired,f,16972,suburban,divorced,125,17,89,0,5,personal auto,personal l3,offer1,agent,600,suv,large
oregon,5718,no,basic,master,1/11/11,employed,m,46133,rural,divorced,73,7,78,0,5,personal auto,personal l2,offer1,branch,19,four-door car,large
nevada,7786,no,extended,college,2/10/11,employed,f,83000,urban,married,97,29,76,1,6,corporate auto,corporate l2,offer1,branch,378,four-door car,small
arizona,4247,no,basic,bachelor,1/26/11,employed,m,44537,urban,married,106,13,42,0,1,corporate auto,corporate l2,offer3,branch,441,sports car,small
washington,4191,no,basic,master,1/29/11,employed,m,77048,rural,married,103,20,41,0,1,personal auto,personal l1,offer2,agent,141,suv,medsize
oregon,4237,no,basic,bachelor,1/17/11,retired,m,29465,suburban,married,118,24,49,1,1,personal auto,personal l3,offer1,web,566,suv,medsize
nevada,4383,no,basic,master,2/10/11,employed,m,84491,rural,single,110,0,0,0,1,personal auto,personal l1,offer4,agent,156,suv,medsize
california,4932,no,basic,college,2/6/11,employed,m,74809,urban,married,61,7,35,0,3,personal auto,personal l2,offer2,branch,283,two-door car,small
arizona,2960,no,basic,bachelor,2/20/11,employed,m,92070,suburban,married,74,16,1,0,1,corporate auto,corporate l2,offer3,branch,368,four-door car,medsize
oregon,21941,no,basic,bachelor,2/20/11,employed,f,26378,rural,married,70,22,79,1,2,personal auto,personal l3,offer2,branch,147,four-door car,medsize
california,14816,no,extended,master,1/14/11,unemployed,m,78975,suburban,divorced,135,18,56,0,2,personal auto,personal l2,offer1,branch,648,suv,medsize
oregon,7521,yes,premium,college,2/14/11,unemployed,m,39315,suburban,married,104,13,20,0,3,personal auto,personal l3,offer1,branch,499,four-door car,small
washington,2560,no,basic,doctor,1/3/11,employed,f,88059,rural,married,63,15,98,0,1,personal auto,personal l1,offer4,call center,144,four-door car,small
oregon,14226,no,premium,high school or below,1/8/11,employed,m,65726,suburban,married,177,35,90,0,7,corporate auto,corporate l1,offer1,agent,849,suv,medsize
california,2359,yes,basic,bachelor,1/11/11,disabled,f,19864,suburban,divorced,63,22,96,0,1,personal auto,personal l2,offer1,web,352,four-door car,medsize
arizona,5217,yes,basic,bachelor,2/17/11,employed,f,39854,urban,divorced,66,6,4,0,7,personal auto,personal l3,offer2,web,261,two-door car,medsize
oregon,4525,no,basic,bachelor,1/31/11,medical leave,m,10269,urban,single,65,12,5,0,3,personal auto,personal l1,offer1,agent,170,two-door car,medsize
california,2943,no,extended,high school or below,1/18/11,unemployed,f,30211,suburban,single,81,26,23,0,1,personal auto,personal l3,offer4,branch,388,two-door car,large
oregon,4170,yes,basic,master,1/17/11,employed,f,29462,suburban,single,107,28,23,1,1,personal auto,personal l2,offer2,branch,513,suv,large
oregon,4726,no,basic,high school or below,1/9/11,unemployed,m,14661,suburban,married,64,10,16,0,6,personal auto,personal l1,offer4,agent,307,four-door car,medsize
california,13786,no,basic,high school or below,1/19/11,unemployed,f,29131,suburban,married,61,21,24,0,2,personal auto,personal l2,offer1,call center,370,four-door car,medsize
nevada,2124,no,basic,bachelor,1/23/11,unemployed,m,44983,rural,married,61,17,14,1,1,personal auto,personal l3,offer4,web,60,two-door car,medsize
california,30850,no,basic,high school or below,2/8/11,disabled,m,25503,suburban,married,115,12,59,0,2,personal auto,personal l3,offer2,branch,552,suv,medsize
arizona,5465,no,basic,bachelor,1/31/11,employed,f,54422,rural,married,68,9,8,0,5,corporate auto,corporate l3,offer1,branch,75,four-door car,medsize
oregon,11196,no,extended,college,1/10/11,employed,f,75457,rural,married,93,0,79,0,2,personal auto,personal l3,offer1,agent,151,four-door car,medsize
nevada,5454,no,extended,bachelor,2/22/11,unemployed,m,65939,suburban,divorced,82,4,77,1,3,corporate auto,corporate l3,offer1,branch,393,two-door car,large
nevada,4328,no,basic,high school or below,2/14/11,employed,m,72531,suburban,married,109,35,20,1,1,personal auto,personal l2,offer2,call center,523,sports car,medsize
california,5087,no,basic,bachelor,1/11/11,employed,m,22726,suburban,married,65,25,73,0,3,personal auto,personal l2,offer2,branch,312,four-door car,medsize
oregon,9123,no,basic,bachelor,1/3/11,employed,m,70737,suburban,married,114,25,12,0,4,corporate auto,corporate l3,offer4,web,741,suv,medsize
washington,8927,no,basic,college,2/14/11,medical leave,m,29136,suburban,divorced,118,16,72,0,9,corporate auto,corporate l1,offer1,agent,566,suv,large
arizona,8564,no,premium,bachelor,2/3/11,disabled,m,23506,suburban,single,113,0,27,0,9,personal auto,personal l3,offer1,branch,813,four-door car,medsize
oregon,5514,no,basic,high school or below,1/2/11,employed,f,23218,suburban,single,71,7,10,0,4,personal auto,personal l2,offer4,agent,447,two-door car,medsize
arizona,8382,yes,basic,high school or below,2/4/11,retired,m,19683,suburban,married,117,17,41,1,9,personal auto,personal l2,offer1,web,561,sports car,medsize
california,5577,no,basic,bachelor,2/18/11,employed,m,70190,rural,single,71,20,22,0,3,corporate auto,corporate l3,offer1,agent,15,two-door car,medsize
california,3821,no,extended,college,1/16/11,employed,f,79189,rural,married,95,20,50,0,1,corporate auto,corporate l2,offer2,branch,50,two-door car,small
oregon,3979,no,basic,bachelor,2/2/11,unemployed,m,43720,suburban,single,116,32,57,0,1,personal auto,personal l3,offer1,branch,835,sports car,medsize
nevada,7573,no,premium,high school or below,2/20/11,unemployed,m,59093,suburban,single,110,6,37,0,6,corporate auto,corporate l3,offer1,agent,1193,four-door car,large
oregon,2555,no,basic,college,2/3/11,unemployed,f,86377,suburban,single,72,14,24,0,1,personal auto,personal l2,offer2,agent,518,four-door car,large
washington,8007,yes,basic,high school or below,1/2/11,unemployed,f,14702,suburban,divorced,112,12,93,0,3,personal auto,personal l3,offer1,web,537,sports car,medsize
oregon,7422,no,basic,high school or below,1/18/11,employed,m,23617,suburban,married,189,0,47,0,1,personal auto,personal l1,offer3,agent,907,luxury car,small
arizona,7060,no,extended,high school or below,1/27/11,employed,m,85412,rural,divorced,88,33,92,0,3,personal auto,personal l1,offer1,call center,134,four-door car,medsize
arizona,2912,no,basic,college,1/24/11,employed,f,93403,urban,divorced,73,18,32,0,1,personal auto,personal l2,offer2,web,295,four-door car,small
arizona,22185,no,basic,master,2/27/11,employed,f,60426,rural,single,62,0,97,0,2,corporate auto,corporate l2,offer1,call center,133,two-door car,medsize
washington,11318,no,extended,college,2/6/11,employed,m,38923,rural,married,99,6,83,2,2,personal auto,personal l3,offer1,agent,115,four-door car,medsize
california,38496,no,extended,high school or below,2/2/11,employed,f,48409,urban,single,124,13,60,0,2,special auto,special l3,offer1,agent,345,suv,medsize
arizona,11218,no,extended,high school or below,1/23/11,employed,f,69268,rural,married,93,31,20,0,2,personal auto,personal l1,offer2,agent,19,two-door car,medsize
california,28824,no,extended,bachelor,2/4/11,unemployed,f,43600,suburban,single,87,13,3,1,2,corporate auto,corporate l3,offer1,agent,626,four-door car,medsize
california,7324,no,premium,bachelor,2/14/11,unemployed,f,41824,suburban,single,105,4,98,0,6,special auto,special l2,offer1,branch,504,two-door car,medsize
washington,4194,no,basic,college,2/24/11,unemployed,m,43298,suburban,single,64,0,60,3,4,special auto,special l3,offer1,branch,759,two-door car,medsize
oregon,2574,yes,basic,master,1/14/11,employed,f,34990,rural,single,65,23,73,0,1,personal auto,personal l3,offer2,web,42,four-door car,medsize
oregon,12590,no,premium,college,1/11/11,employed,m,62575,suburban,married,106,5,21,0,2,personal auto,personal l1,offer2,call center,508,two-door car,medsize
oregon,4165,no,premium,bachelor,1/20/11,employed,m,58299,suburban,married,105,24,22,1,1,personal auto,personal l3,offer1,branch,504,four-door car,medsize
california,31934,no,basic,bachelor,1/6/11,employed,f,56516,suburban,married,199,26,46,0,2,personal auto,personal l3,offer2,call center,955,luxury suv,medsize
california,7089,no,extended,bachelor,1/10/11,employed,m,28121,suburban,divorced,90,16,0,0,4,personal auto,personal l1,offer2,agent,432,two-door car,medsize
oregon,7661,no,extended,bachelor,2/15/11,employed,m,66726,urban,married,97,3,60,1,7,personal auto,personal l2,offer2,call center,335,two-door car,medsize
oregon,18542,no,basic,college,1/9/11,unemployed,f,88595,suburban,married,72,30,48,0,2,corporate auto,corporate l2,offer4,agent,622,four-door car,small
california,2867,yes,extended,bachelor,1/3/11,retired,f,23376,suburban,divorced,78,19,18,0,1,personal auto,personal l3,offer2,call center,374,four-door car,medsize
oregon,2551,yes,basic,master,1/19/11,employed,m,79751,suburban,married,63,15,67,0,1,personal auto,personal l3,offer3,web,392,two-door car,small
washington,2577,no,basic,bachelor,2/19/11,employed,f,49467,suburban,divorced,65,1,96,0,1,personal auto,personal l3,offer1,call center,413,two-door car,small
washington,8609,yes,basic,bachelor,1/14/11,employed,f,79090,urban,married,107,2,74,0,3,personal auto,personal l1,offer2,branch,289,suv,medsize
oregon,7316,no,basic,college,1/2/11,employed,f,30493,rural,married,62,15,56,1,2,personal auto,personal l3,offer1,branch,108,two-door car,medsize
washington,32467,no,premium,doctor,1/16/11,employed,m,37675,suburban,single,104,23,18,0,2,corporate auto,corporate l3,offer3,agent,731,four-door car,medsize
oregon,5061,no,basic,bachelor,2/14/11,employed,f,59216,urban,married,64,0,66,2,7,personal auto,personal l3,offer2,branch,200,four-door car,large
nevada,3135,no,extended,college,1/13/11,unemployed,m,27867,suburban,single,91,12,6,0,1,corporate auto,corporate l3,offer2,call center,707,four-door car,small
arizona,3595,no,basic,high school or below,1/21/11,unemployed,f,76973,suburban,single,103,20,43,0,1,corporate auto,corporate l3,offer2,call center,741,sports car,medsize
washington,2842,no,basic,doctor,1/4/11,employed,f,43793,rural,married,71,8,31,0,1,personal auto,personal l2,offer2,agent,16,four-door car,medsize
arizona,13770,yes,premium,high school or below,2/1/11,employed,f,59207,suburban,single,116,25,21,0,2,personal auto,personal l3,offer1,agent,556,four-door car,medsize
california,7535,no,basic,doctor,1/24/11,employed,m,37496,suburban,single,65,1,36,0,2,corporate auto,corporate l2,offer3,agent,312,two-door car,small
california,18039,no,basic,college,1/31/11,unemployed,f,84795,suburban,single,63,28,82,0,2,personal auto,personal l3,offer3,web,503,four-door car,medsize
arizona,14031,no,basic,bachelor,1/8/11,employed,m,58092,urban,married,72,7,56,1,2,personal auto,personal l2,offer2,branch,202,two-door car,medsize
arizona,5652,no,basic,high school or below,1/7/11,medical leave,f,16171,urban,married,74,8,36,0,4,corporate auto,corporate l3,offer1,agent,311,four-door car,medsize
arizona,9339,no,premium,high school or below,2/22/11,employed,m,69442,suburban,married,118,26,6,3,3,personal auto,personal l1,offer3,branch,1265,four-door car,small
california,8521,no,premium,high school or below,2/21/11,employed,m,37910,suburban,married,108,7,9,0,7,personal auto,personal l3,offer1,agent,518,four-door car,medsize
washington,15695,no,basic,college,1/27/11,employed,m,97750,urban,divorced,65,15,51,0,2,personal auto,personal l3,offer2,agent,303,four-door car,medsize
california,3337,no,extended,master,1/15/11,employed,m,60607,urban,married,83,2,82,0,1,corporate auto,corporate l1,offer2,web,379,four-door car,medsize
arizona,5598,no,basic,bachelor,2/9/11,disabled,m,14174,suburban,married,72,1,62,0,8,personal auto,personal l1,offer1,call center,345,four-door car,medsize
oregon,11981,yes,basic,master,1/20/11,retired,f,21514,urban,married,62,0,59,0,2,corporate auto,corporate l2,offer1,agent,257,two-door car,medsize
arizona,5318,yes,basic,bachelor,1/12/11,employed,f,25134,suburban,married,67,3,0,0,6,personal auto,personal l3,offer2,call center,321,four-door car,small
washington,4548,no,extended,bachelor,2/6/11,unemployed,f,68573,suburban,married,132,5,88,3,1,personal auto,personal l2,offer1,branch,950,sports car,large
oregon,2889,no,basic,college,2/13/11,employed,f,72075,rural,married,73,32,1,2,1,special auto,special l3,offer2,web,22,four-door car,medsize
oregon,7381,yes,extended,college,2/3/11,employed,m,54878,rural,married,96,15,11,4,9,personal auto,personal l3,offer3,call center,204,four-door car,medsize
washington,5970,no,extended,college,1/23/11,employed,m,64008,urban,single,85,9,66,5,5,personal auto,personal l3,offer3,agent,372,four-door car,medsize
arizona,7832,no,basic,high school or below,1/9/11,employed,m,34644,suburban,married,66,7,36,0,2,personal auto,personal l3,offer4,agent,316,four-door car,medsize
oregon,21147,no,extended,bachelor,1/7/11,employed,f,49721,suburban,married,132,18,49,0,2,corporate auto,corporate l3,offer3,call center,639,sports car,large
arizona,7597,no,basic,college,2/4/11,employed,f,49937,urban,married,64,1,45,0,2,personal auto,personal l2,offer3,web,302,two-door car,medsize
arizona,5248,no,basic,college,2/8/11,unemployed,m,68041,urban,married,72,0,45,0,4,personal auto,personal l3,offer4,web,216,suv,small
california,3479,no,extended,high school or below,1/8/11,employed,m,35033,suburban,married,87,26,53,0,1,personal auto,personal l2,offer1,agent,490,two-door car,small
california,10960,no,extended,college,2/17/11,employed,f,29815,rural,single,95,35,18,0,2,personal auto,personal l1,offer4,agent,76,four-door car,medsize
arizona,7200,yes,basic,college,1/26/11,unemployed,f,45547,suburban,married,66,16,77,0,2,personal auto,personal l1,offer2,agent,316,four-door car,medsize
oregon,4690,no,premium,bachelor,1/12/11,employed,m,43367,suburban,divorced,118,6,20,0,1,personal auto,personal l1,offer2,branch,1026,four-door car,medsize
california,6685,no,extended,bachelor,2/26/11,employed,f,31517,suburban,married,84,33,74,2,3,personal auto,personal l3,offer4,agent,604,two-door car,small
washington,2576,no,basic,bachelor,2/24/11,employed,m,37574,suburban,married,66,19,14,1,1,personal auto,personal l1,offer1,agent,412,two-door car,medsize
arizona,2523,no,basic,high school or below,1/30/11,unemployed,f,15672,suburban,single,70,20,81,0,1,personal auto,personal l1,offer1,branch,504,four-door car,small
oregon,11546,no,extended,master,2/26/11,employed,m,81081,rural,married,96,32,34,1,2,corporate auto,corporate l2,offer4,call center,206,four-door car,medsize
california,12252,no,premium,bachelor,2/18/11,unemployed,f,84543,suburban,married,115,12,17,1,2,personal auto,personal l2,offer1,agent,552,four-door car,medsize
oregon,2672,no,basic,bachelor,2/10/11,employed,m,52822,suburban,married,67,23,88,0,1,corporate auto,corporate l1,offer1,branch,350,two-door car,small
california,4965,no,basic,high school or below,1/6/11,unemployed,f,30047,suburban,single,73,4,71,1,8,personal auto,personal l3,offer3,call center,525,sports car,medsize
arizona,2396,yes,basic,bachelor,1/10/11,unemployed,f,27939,suburban,married,66,6,71,2,1,corporate auto,corporate l3,offer2,call center,433,four-door car,large
california,19160,yes,extended,master,2/20/11,employed,f,22705,suburban,divorced,239,19,59,0,7,personal auto,personal l3,offer2,agent,1294,luxury suv,medsize
california,2486,no,basic,high school or below,2/24/11,unemployed,f,89117,suburban,single,72,22,55,0,1,corporate auto,corporate l3,offer2,branch,518,two-door car,large
california,8992,no,extended,high school or below,1/27/11,unemployed,f,76974,suburban,single,129,13,4,0,7,personal auto,personal l1,offer1,call center,1059,suv,medsize
washington,8311,no,basic,college,2/27/11,employed,m,44843,urban,single,105,1,34,0,3,personal auto,personal l2,offer1,branch,391,suv,medsize
arizona,35440,no,basic,college,2/16/11,employed,f,74560,suburban,divorced,110,31,20,0,2,personal auto,personal l3,offer1,branch,528,suv,medsize
oregon,5420,no,basic,college,1/10/11,employed,m,31614,urban,single,71,26,69,0,4,personal auto,personal l3,offer2,branch,234,four-door car,medsize
california,2227,yes,basic,high school or below,1/5/11,retired,m,27972,suburban,married,61,7,38,0,1,personal auto,personal l3,offer3,web,292,four-door car,medsize
oregon,4530,no,basic,college,1/21/11,employed,m,34640,urban,married,117,23,54,2,1,personal auto,personal l2,offer1,call center,466,sports car,medsize
oregon,9035,yes,premium,high school or below,1/21/11,employed,f,34337,suburban,married,113,20,44,0,9,personal auto,personal l3,offer2,web,542,four-door car,large
nevada,5728,no,basic,college,1/30/11,employed,f,29730,suburban,married,72,1,76,0,3,personal auto,personal l1,offer3,branch,463,four-door car,medsize
california,2576,no,basic,bachelor,1/11/11,employed,m,24732,suburban,divorced,67,4,49,0,1,corporate auto,corporate l3,offer2,branch,321,four-door car,small
oregon,2745,no,basic,college,1/15/11,employed,m,91757,suburban,married,69,29,58,1,1,personal auto,personal l3,offer2,web,331,four-door car,medsize
nevada,7799,no,basic,bachelor,1/6/11,unemployed,f,49274,suburban,married,105,33,7,0,3,personal auto,personal l3,offer1,web,504,suv,medsize
washington,4754,no,basic,college,2/5/11,employed,f,30886,rural,divorced,61,8,36,0,6,special auto,special l2,offer2,agent,8,four-door car,medsize
california,7914,no,extended,college,2/9/11,employed,f,77153,urban,married,99,3,27,1,5,personal auto,personal l3,offer1,branch,355,four-door car,medsize
california,9103,no,extended,bachelor,2/27/11,unemployed,f,74363,suburban,single,131,18,41,0,3,personal auto,personal l2,offer2,branch,628,sports car,medsize
california,18484,no,basic,college,2/11/11,employed,f,36153,urban,married,117,27,6,1,2,corporate auto,corporate l3,offer2,agent,323,sports car,medsize
california,14260,no,extended,college,1/2/11,unemployed,m,62037,rural,married,99,2,30,0,2,personal auto,personal l1,offer4,branch,204,two-door car,medsize
oregon,14206,no,basic,college,1/14/11,disabled,f,26056,suburban,married,73,17,73,0,2,personal auto,personal l3,offer1,branch,355,four-door car,medsize
oregon,3096,yes,extended,college,2/12/11,employed,f,21604,suburban,divorced,79,14,28,0,1,corporate auto,corporate l2,offer1,branch,379,four-door car,medsize
oregon,7421,no,extended,high school or below,1/10/11,employed,f,47406,urban,married,94,2,96,1,6,personal auto,personal l3,offer1,agent,287,four-door car,medsize
arizona,7792,no,basic,master,1/3/11,employed,f,36776,urban,divorced,65,21,21,0,2,corporate auto,corporate l3,offer1,call center,240,four-door car,medsize
nevada,5246,no,basic,bachelor,1/21/11,employed,f,28909,suburban,married,66,15,66,0,8,corporate auto,corporate l1,offer1,agent,456,two-door car,medsize
arizona,3337,no,extended,bachelor,1/13/11,employed,f,43510,urban,married,83,8,75,0,1,personal auto,personal l3,offer3,agent,238,four-door car,medsize
oregon,2676,no,basic,high school or below,2/4/11,employed,f,54480,suburban,married,67,17,91,0,1,personal auto,personal l1,offer2,branch,321,four-door car,small
california,2627,no,basic,bachelor,2/11/11,employed,m,31964,rural,married,67,30,90,0,1,personal auto,personal l2,offer2,web,120,four-door car,medsize
arizona,5219,no,basic,bachelor,1/4/11,employed,f,64964,urban,single,66,9,84,0,5,personal auto,personal l3,offer3,call center,286,four-door car,medsize
